"artist","song","first_app","first_year","last_app","last_year","weeks","highest_spot","lowest_spot","length_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_track_popularity"
"Lil Dicky","Earth",2019-05-04,2019,2019-06-08,2019,6,17,91,281500,0.694,0.664,2,-4.649,1,0.05,0.639,0,0.0929,0.676,95.941,4,76
"Iggy Azalea","Sally Walker",2019-03-30,2019,2019-03-30,2019,1,62,62,178993,0.905,0.492,8,-8.953,0,0.0936,0.0177,0,0.0994,0.605,140.076,4,66
"Future Featuring YG","Extra Luv",2017-07-22,2017,2017-07-22,2017,1,99,99,246173,0.831,0.573,4,-6.408,0,0.221,0.188,0.000883,0.109,0.229,100.015,4,61
"Ariana Grande","One Last Time",2015-02-28,2015,2015-07-11,2015,20,13,80,197266,0.628,0.593,8,-5.036,1,0.0323,0.093,0.00000165,0.096,0.104,125.026,4,81
"Bea Miller","Fire N Gold",2015-08-15,2015,2015-08-15,2015,1,78,78,211573,0.539,0.869,6,-5.341,1,0.0471,0.00463,0,0.324,0.362,143.987,4,62
"Post Malone Featuring Future & Halsey","Die For Me",2019-09-21,2019,2019-10-19,2019,5,20,94,245266,0.614,0.66,0,-2.848,1,0.0441,0.19,0,0.211,0.452,145.01,4,83
"OMI","Cheerleader",2015-05-09,2015,2016-01-02,2016,35,1,95,180560,0.78,0.68,4,-6.081,1,0.0305,0.141,0.000012,0.138,0.594,118.026,4,67
"Ariana Grande","Thank U, Next",2018-11-17,2018,2019-05-25,2019,28,1,49,207320,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,4,84
"French Montana Featuring Drake","No Stylist",2018-10-06,2018,2019-02-16,2019,20,47,95,192172,0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,4,79
"Adele","All I Ask",2016-03-05,2016,2016-03-05,2016,1,77,77,271800,0.587,0.283,4,-5.473,1,0.0279,0.882,0,0.149,0.343,141.961,4,71
"G-Eazy & Halsey","Him & I",2017-12-23,2017,2018-04-28,2018,19,14,47,268866,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,4,79
"Beyonce","Before I Let Go",2019-05-04,2019,2019-08-17,2019,16,65,100,240776,0.713,0.842,6,-5.424,0,0.0984,0.0686,0,0.341,0.435,102.968,4,67
"Kanye West","No Mistakes",2018-06-16,2018,2018-06-16,2018,1,36,36,123040,0.643,0.646,10,-2.442,0,0.0629,0.0393,0,0.109,0.35,80.174,4,63
"Kanye West","Pt. 2",2016-04-23,2016,2016-05-07,2016,3,54,97,130293,0.67,0.724,11,-4.141,1,0.361,0.577,0,0.789,0.285,145.105,4,68
"NF","When I Grow Up",2019-07-13,2019,2019-07-13,2019,1,78,78,196800,0.817,0.814,2,-3.985,1,0.185,0.32,0,0.152,0.247,109.994,4,74
"Kendrick Lamar","Yah.",2017-05-06,2017,2017-05-20,2017,3,32,89,160293,0.67,0.7,1,-7.893,1,0.196,0.576,0.00000534,0.226,0.648,69.986,4,66
"Khalid","Location",2017-01-28,2017,2017-11-18,2017,43,16,77,219080,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,4,84
"Linkin Park","In The End",2001-11-03,2001,2017-08-12,2017,39,2,78,216880,0.542,0.853,3,-6.407,0,0.0498,0.0103,0,0.108,0.37,105.256,4,84
"Gene Autry","Here Comes Santa Claus (Down Santa Claus Lane)",2018-12-22,2018,2018-12-29,2018,2,35,40,150266,0.834,0.372,1,-11.99,1,0.0358,0.799,0,0.275,0.976,96.628,4,80
"Lil Baby & Gunna Featuring Lil Durk & NAV","Off White VLONE",2018-10-20,2018,2018-10-20,2018,1,54,54,187464,0.859,0.506,10,-8.115,0,0.418,0.105,0,0.113,0.153,140.973,4,66
"Gucci Mane & Nicki Minaj","Make Love",2017-03-18,2017,2017-03-18,2017,1,78,78,300160,0.972,0.563,11,-6.983,1,0.156,0.00528,0.00257,0.111,0.217,129.984,4,52
"Lil Uzi Vert","POP",2020-03-21,2020,2020-03-21,2020,1,28,28,227474,0.741,0.599,1,-6.672,0,0.419,0.00961,0,0.785,0.276,139.891,4,60
"Ariana Grande","7 Rings",2019-02-02,2019,2019-09-14,2019,33,1,43,178626,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,4,91
"Frank Ocean","Nikes",2016-09-10,2016,2016-09-10,2016,1,79,79,314075,0.543,0.394,8,-9.637,1,0.0864,0.695,0.000239,0.108,0.118,137.811,4,74
"KIDS SEE GHOSTS","Cudi Montage",2018-06-23,2018,2018-06-23,2018,1,69,69,197000,0.729,0.504,8,-6.784,0,0.0321,0.401,0.00000144,0.121,0.305,110.011,4,66
